"1996",14.9
"1997",16.8
"1998",15.0
"1999",18.4
"2000",13.6
"2001",16.4
"2002",18.4
"2003",17.8
"2004",19.6
"2005",17.7
"2006",24.1
"2007",19.3
"2008",15.0
