19960924,99,40,151
19960925,111,34,186
19960926,133,57,193
19960927,145,116,184
19960928,133,90,179
19960929,148,118,177
19960930,147,96,178
19961001,102,58,128
19961002,89,34,161
19961003,120,34,177
19961004,118,87,154
19961005,93,51,141
19961006,87,20,160
19961007,95,39,164
19961008,112,35,176
19961009,125,111,151
19961010,116,94,146
19961011,106,73,130
19961012,95,63,118
19961013,117,54,176
19961014,148,116,202
19961015,130,102,169
19961016,95,50,139
19961017,80,36,144
19961018,90,32,136
19961019,116,81,152
19961020,129,89,155
19961021,127,67,155
19961022,96,37,155
19961023,94,54,143
19961024,99,59,147
19961025,107,76,141
19961026,108,81,150
19961027,112,76,153
19961028,134,116,153
19961029,107,86,135
19961030,97,77,122
19961031,95,77,129
19961101,116,88,135
19961102,139,125,150
19961103,138,133,144
19961104,130,113,141
19961105,100,76,122
19961106,116,79,141
19961107,89,66,112
19961108,63,34,110
19961109,77,44,110
19961110,67,41,83
19961111,65,31,97
19961112,86,57,101
19961113,55,14,92
19961114,27,-14,94
19961115,10,-19,52
19961116,28,-4,56
19961117,23,-3,38
19961118,39,23,62
19961119,30,6,53
19961120,56,30,70
19961121,41,19,71
19961122,40,6,71
19961123,17,-9,47
19961124,23,-12,54
19961125,45,13,62
19961126,38,5,62
19961127,10,-15,29
19961128,16,-12,55
19961129,34,-2,63
19961130,41,2,64
19961201,48,4,82
19961202,74,61,85
19961203,62,29,88
19961204,67,40,86
19961205,49,37,72
19961206,54,35,73
19961207,53,36,70
19961208,19,4,37
19961209,-3,-7,6
19961210,-4,-10,-2
19961211,-10,-15,-6
19961212,-6,-15,5
19961213,12,-22,47
19961214,1,-48,39
19961215,67,27,92
19961216,52,28,65
19961217,30,16,45
19961218,55,21,83
19961219,60,35,78
19961220,0,-27,35
19961221,-35,-48,-7
19961222,-22,-54,26
19961223,-26,-43,0
19961224,-45,-72,-13
19961225,-27,-67,0
19961226,-53,-87,-7
19961227,-49,-89,-32
19961228,-86,-105,-47
19961229,-43,-113,22
19961230,-12,-57,3
19961231,-97,-120,-57
19970101,-114,-137,-73
